id,mass,sources
EVODEX.1-M3,2.01566,"EVODEX.1-P10,EVODEX.1-P1140,EVODEX.1-P1144,EVODEX.1-P1145,EVODEX.1-P1146,EVODEX.1-P1147,EVODEX.1-P1190,EVODEX.1-P1191,EVODEX.1-P1192,EVODEX.1-P1193,EVODEX.1-P1194,EVODEX.1-P1195,EVODEX.1-P1196,EVODEX.1-P1197,EVODEX.1-P1198,EVODEX.1-P12,EVODEX.1-P126,EVODEX.1-P13,EVODEX.1-P136,EVODEX.1-P14,EVODEX.1-P150,EVODEX.1-P153,EVODEX.1-P154,EVODEX.1-P155,EVODEX.1-P157,EVODEX.1-P16,EVODEX.1-P161,EVODEX.1-P176,EVODEX.1-P18,EVODEX.1-P19,EVODEX.1-P20,EVODEX.1-P23,EVODEX.1-P27,EVODEX.1-P30,EVODEX.1-P31,EVODEX.1-P36,EVODEX.1-P37,EVODEX.1-P38,EVODEX.1-P40,EVODEX.1-P42,EVODEX.1-P46,EVODEX.1-P48,EVODEX.1-P49,EVODEX.1-P5,EVODEX.1-P50,EVODEX.1-P51,EVODEX.1-P61,EVODEX.1-P64,EVODEX.1-P65,EVODEX.1-P67,EVODEX.1-P69,EVODEX.1-P75,EVODEX.1-P76,EVODEX.1-P78,EVODEX.1-P79,EVODEX.1-P797,EVODEX.1-P798,EVODEX.1-P799,EVODEX.1-P8,EVODEX.1-P80,EVODEX.1-P800,EVODEX.1-P803,EVODEX.1-P804,EVODEX.1-P809,EVODEX.1-P81,EVODEX.1-P810,EVODEX.1-P811,EVODEX.1-P812,EVODEX.1-P814,EVODEX.1-P815,EVODEX.1-P816,EVODEX.1-P817,EVODEX.1-P818,EVODEX.1-P819,EVODEX.1-P822,EVODEX.1-P830,EVODEX.1-P831,EVODEX.1-P832,EVODEX.1-P833,EVODEX.1-P834,EVODEX.1-P835,EVODEX.1-P846,EVODEX.1-P87,EVODEX.1-P871,EVODEX.1-P872,EVODEX.1-P873,EVODEX.1-P88,EVODEX.1-P9,EVODEX.1-P92,EVODEX.1-P94"
EVODEX.1-M5,-2.01566,"EVODEX.1-P1,EVODEX.1-P101,EVODEX.1-P103,EVODEX.1-P105,EVODEX.1-P11,EVODEX.1-P1141,EVODEX.1-P1142,EVODEX.1-P1143,EVODEX.1-P116,EVODEX.1-P124,EVODEX.1-P135,EVODEX.1-P144,EVODEX.1-P15,EVODEX.1-P174,EVODEX.1-P2,EVODEX.1-P21,EVODEX.1-P22,EVODEX.1-P24,EVODEX.1-P25,EVODEX.1-P26,EVODEX.1-P29,EVODEX.1-P3,EVODEX.1-P32,EVODEX.1-P33,EVODEX.1-P34,EVODEX.1-P39,EVODEX.1-P4,EVODEX.1-P41,EVODEX.1-P43,EVODEX.1-P44,EVODEX.1-P45,EVODEX.1-P47,EVODEX.1-P52,EVODEX.1-P545,EVODEX.1-P547,EVODEX.1-P6,EVODEX.1-P600,EVODEX.1-P601,EVODEX.1-P602,EVODEX.1-P603,EVODEX.1-P604,EVODEX.1-P605,EVODEX.1-P62,EVODEX.1-P63,EVODEX.1-P68,EVODEX.1-P7,EVODEX.1-P74,EVODEX.1-P801,EVODEX.1-P802,EVODEX.1-P805,EVODEX.1-P806,EVODEX.1-P807,EVODEX.1-P808,EVODEX.1-P813,EVODEX.1-P820,EVODEX.1-P821,EVODEX.1-P823,EVODEX.1-P824,EVODEX.1-P825,EVODEX.1-P826,EVODEX.1-P827,EVODEX.1-P828,EVODEX.1-P829,EVODEX.1-P84,EVODEX.1-P847,EVODEX.1-P849,EVODEX.1-P852,EVODEX.1-P853,EVODEX.1-P855,EVODEX.1-P89,EVODEX.1-P90,EVODEX.1-P91,EVODEX.1-P93,EVODEX.1-P95"
EVODEX.1-M89,-4.03132,EVODEX.1-P73
EVODEX.1-M1,0.0,"EVODEX.1-P3420,EVODEX.1-P35,EVODEX.1-P6271,EVODEX.1-P6273,EVODEX.1-P6274,EVODEX.1-P6445,EVODEX.1-P6446,EVODEX.1-P6561,EVODEX.1-P6562,EVODEX.1-P6563,EVODEX.1-P6564,EVODEX.1-P6565,EVODEX.1-P6566,EVODEX.1-P6567,EVODEX.1-P6568,EVODEX.1-P6569,EVODEX.1-P6570,EVODEX.1-P6571,EVODEX.1-P6572,EVODEX.1-P6573,EVODEX.1-P6574,EVODEX.1-P6575,EVODEX.1-P6576,EVODEX.1-P6577,EVODEX.1-P6578,EVODEX.1-P6579,EVODEX.1-P6580,EVODEX.1-P6581,EVODEX.1-P6582,EVODEX.1-P6583,EVODEX.1-P6584,EVODEX.1-P6585,EVODEX.1-P6586,EVODEX.1-P6593,EVODEX.1-P6594,EVODEX.1-P6595,EVODEX.1-P6596,EVODEX.1-P6597,EVODEX.1-P6598,EVODEX.1-P6599,EVODEX.1-P6600,EVODEX.1-P6601,EVODEX.1-P6602,EVODEX.1-P6603,EVODEX.1-P6604,EVODEX.1-P6605,EVODEX.1-P6606,EVODEX.1-P6607"
EVODEX.1-M92,-126.10452000000001,"EVODEX.1-P1493,EVODEX.1-P3989,EVODEX.1-P3991,EVODEX.1-P4042,EVODEX.1-P4068,EVODEX.1-P5533,EVODEX.1-P5557,EVODEX.1-P5648,EVODEX.1-P5701,EVODEX.1-P5831"
EVODEX.1-M2,18.010559999999998,"EVODEX.1-P3866,EVODEX.1-P3944,EVODEX.1-P3971,EVODEX.1-P3974,EVODEX.1-P3976,EVODEX.1-P3977,EVODEX.1-P3978,EVODEX.1-P3979,EVODEX.1-P3980,EVODEX.1-P3982,EVODEX.1-P4036,EVODEX.1-P4037,EVODEX.1-P4143,EVODEX.1-P4148,EVODEX.1-P4150,EVODEX.1-P4547,EVODEX.1-P4548,EVODEX.1-P4552,EVODEX.1-P4554,EVODEX.1-P4558,EVODEX.1-P4561,EVODEX.1-P4562,EVODEX.1-P4563,EVODEX.1-P4564,EVODEX.1-P4568,EVODEX.1-P5836,EVODEX.1-P5839,EVODEX.1-P5841,EVODEX.1-P5843,EVODEX.1-P5850,EVODEX.1-P6387,EVODEX.1-P6393,EVODEX.1-P6394,EVODEX.1-P6396,EVODEX.1-P6398,EVODEX.1-P6403,EVODEX.1-P6407,EVODEX.1-P6410,EVODEX.1-P6412,EVODEX.1-P6430,EVODEX.1-P6437,EVODEX.1-P6440,EVODEX.1-P6442,EVODEX.1-P6452,EVODEX.1-P6453,EVODEX.1-P6463,EVODEX.1-P6466,EVODEX.1-P6468,EVODEX.1-P6469,EVODEX.1-P6471"
EVODEX.1-M6,15.9949,"EVODEX.1-P125,EVODEX.1-P196,EVODEX.1-P204,EVODEX.1-P205,EVODEX.1-P207,EVODEX.1-P211,EVODEX.1-P217,EVODEX.1-P220,EVODEX.1-P266,EVODEX.1-P319,EVODEX.1-P322,EVODEX.1-P332,EVODEX.1-P339,EVODEX.1-P375,EVODEX.1-P389,EVODEX.1-P403,EVODEX.1-P413,EVODEX.1-P431,EVODEX.1-P439,EVODEX.1-P443,EVODEX.1-P445,EVODEX.1-P447,EVODEX.1-P451,EVODEX.1-P456,EVODEX.1-P457,EVODEX.1-P458,EVODEX.1-P460,EVODEX.1-P462,EVODEX.1-P466,EVODEX.1-P473,EVODEX.1-P480,EVODEX.1-P485,EVODEX.1-P486,EVODEX.1-P489,EVODEX.1-P492,EVODEX.1-P494,EVODEX.1-P495,EVODEX.1-P497,EVODEX.1-P499,EVODEX.1-P511,EVODEX.1-P513,EVODEX.1-P520,EVODEX.1-P524,EVODEX.1-P526,EVODEX.1-P527,EVODEX.1-P529,EVODEX.1-P531,EVODEX.1-P532,EVODEX.1-P534,EVODEX.1-P535,EVODEX.1-P536,EVODEX.1-P538,EVODEX.1-P549,EVODEX.1-P550,EVODEX.1-P553,EVODEX.1-P567,EVODEX.1-P572,EVODEX.1-P577,EVODEX.1-P586,EVODEX.1-P648,EVODEX.1-P654,EVODEX.1-P655,EVODEX.1-P656,EVODEX.1-P658,EVODEX.1-P661,EVODEX.1-P681,EVODEX.1-P683,EVODEX.1-P684,EVODEX.1-P690,EVODEX.1-P698,EVODEX.1-P699,EVODEX.1-P703,EVODEX.1-P746,EVODEX.1-P758,EVODEX.1-P780"
EVODEX.1-M29,13.979239999999999,"EVODEX.1-P121,EVODEX.1-P122,EVODEX.1-P54,EVODEX.1-P55,EVODEX.1-P77"
EVODEX.1-M9,-15.9949,"EVODEX.1-P1200,EVODEX.1-P1202,EVODEX.1-P1204,EVODEX.1-P1205,EVODEX.1-P1207,EVODEX.1-P168,EVODEX.1-P568,EVODEX.1-P582,EVODEX.1-P651,EVODEX.1-P657,EVODEX.1-P695,EVODEX.1-P697,EVODEX.1-P702,EVODEX.1-P704,EVODEX.1-P706"
EVODEX.1-M191,-262.2298,"EVODEX.1-P1749,EVODEX.1-P3965,EVODEX.1-P4002,EVODEX.1-P4039,EVODEX.1-P5590"
